name	offset	segment
__fill_buffer_	0x000610fa	1
__flushall_	0x00061869	1
__fmode	0x00078698	1
__fprtf_	0x00061007	1
__free_code	0x0007ce3e	1
__freefp_	0x000605f3	1
__full_io_exit_	0x00061cba	1
__get_doserrno_ptr_	0x00061254	1
__get_errno_ptr_	0x0006124e	1
__getctime_	0x0006043e	1
__ioalloc_	0x00060ec9	1
__iomode	0x000788d4	1
__isindst_	0x000618d1	1
__leapyear_	0x000618a0	1
__line_number	0x0007ce62	1
__line_offset	0x0007ce40	1
__max_code	0x0007ce3c	1
__newcode	0x0007cd70	1
__nmemneed_	0x0005fe7a	1
__no87	0x00078670	1
__null_int23_exit_	0x0005fdd3	1
__nullarea	0x00061ec0	1
__oldcode	0x0007cd68	1
__open_flags_	0x0005fa24	1
__osmajor	0x0007867a	1
__osminor	0x0007867b	1
__parse_tz_	0x00061741	1
__prtf_	0x0006063d	1
__psp	0x00078658	1
__qread_	0x00060403	1
__qwrite_	0x000617cd	1
__scrn_buf	0x0007cd7c	1
__set_binary_	0x0005ed80	1
__setbits_	0x00061c77	1
__setenvp_	0x00061dd5	1
__vcount	0x00099f68	1
_act_pages	0x00066692	1
_active_conv_menu	0x0007cd54	1
_actspMshandle	0x0007ce76	1
_actual_mhide_	0x0000ba34	1
_adjust	0x00065c9c	1
_aligned	0x00081e49	1
_alloctab	0x00065d84	1
_always_decode	0x0006668b	1
_animclassd	0x0007da48	1
_animcount	0x00081e3a	1
_animlist	0x0007db0e	1
_arc_buffer	0x0007cda8	1
_arcbuf	0x000826d4	1
_arcstr	0x00065d88	1
_area1_spells	0x00066430	1
_area_spell_state	0x00066688	1
_area_spells	0x000663f8	1
_askill	0x000795d0	1
_asm_clip_polygon	0x0005870e	1
_asm_clip_polygon_bottom	0x0005848c	1
_asm_clip_polygon_left	0x000583b4	1
_asm_clip_polygon_right	0x00058567	1
_asm_clip_polygon_top	0x00058639	1
_asm_project_polygon	0x000575d8	1
_asm_texture_map	0x00056a31	1
_asm_texture_map_1	0x00057642	1
_asm_texture_map_scanline_lin_tlp	0x00057f48	1
_asm_texture_map_scanline_lin_tlpv	0x00057218	1
_asm_texture_map_scanline_lin_tp	0x00057b28	1
_asm_texture_map_scanline_per_tlp	0x00057cb4	1
_asm_texture_map_scanline_per_tp	0x00057964	1
_asm_texture_map_v	0x00055f4c	1
_attackKey	0x000657d0	1
_bmhgtoff	0x0006bff8	1
_bmsegoff	0x0006bffc	1
_bobEffect	0x00065b7c	1
_btns	0x0007cd40	1
